term,definition,category
御三家,游戏开局或版本初期玩家最常选用的三只核心精灵,角色称呼
奶妈,以治疗/回血为主要功能的辅助型角色,角色称呼
肉盾,血量高、负责吸收伤害保护队友的前排角色,角色称呼
坦克,承受敌方主要火力的高防御前排角色,角色称呼
输出位,队伍中负责打出主要伤害的角色,角色称呼
工具人,自身不强但能为队伍提供关键功能的角色,角色称呼
脆皮,血量低、容易被秒杀的角色,角色称呼
白嫖,不花钱通过活动或免费途径获取资源,社区梗缩写
欧皇,抽卡运气极好的玩家,数值机制
非酋,抽卡运气极差的玩家,数值机制
脸黑,运气差、出货概率低的状态,数值机制
保底,抽卡累计一定次数后必定出货的机制,数值机制
歪了,抽卡没抽到目标对象而抽到其他对象,数值机制
毕业,某个角色或装备已养成到满级或最优状态,玩法术语
搬砖,反复刷取资源的重复性玩法,玩法术语
打本,组队进行副本挑战,玩法术语
速刷,以最快速度反复通关获取奖励,玩法术语
肝,投入大量时间精力进行游戏,玩法术语
氪,花钱充值购买游戏内容,玩法术语
秒了,在极短时间内将目标击杀,操作技巧
一套带走,用一连串连招瞬间击杀目标,操作技巧
拉怪,主动吸引怪物注意力以控制战局,操作技巧
风筝,边移动边攻击保持距离消耗敌人,操作技巧
越塔,无视防御塔强行进攻,操作技巧
集火,全队集中攻击同一目标,操作技巧
仙人指路,被高水平玩家带飞或指导,操作技巧
神装,属性极佳的顶级装备,装备道具
毕业装,养成到最优无需更换的装备,装备道具
红装,游戏中稀有度最高的红色品质装备,装备道具
吃书,角色实际表现与官方设定描述不符,社区梗缩写
版本之子,当前版本强度最高最受欢迎的角色,角色称呼
养老,以轻松休闲方式慢节奏游玩,玩法术语
混子,出力少却蹭队友收益的玩家,角色称呼
真伤,无视防御直接结算的真实伤害,数值机制
